start_date,end_date,thresholds,tax_rates
1993-03-16,1997-07-07,"[0, 60000]","[0, 1]"
1997-07-08,1998-03-23,"[0, 60000, 250000, 500000]","[0, 1, 1.5, 2]"
1998-03-24,1999-03-15,"[0, 60000, 250000, 500000]","[0, 1, 2, 3]"
1999-03-16,2000-03-27,"[0, 60000, 250000, 500000]","[0, 1, 2.5, 3.5]"
2000-03-28,2005-03-16,"[0, 60000, 250000, 500000]","[0, 1, 3, 4]"
2005-03-17,2006-03-22,"[0, 120000, 250000, 500000]","[0, 1, 3, 4]"
2006-03-23,2008-09-02,"[0, 125000, 250000, 500000]","[0, 1, 3, 4]"
2008-09-03,2009-12-31,"[0, 175000, 250000, 500000]","[0, 1, 3, 4]"
2010-01-01,2011-04-05,"[0, 125000, 250000, 500000]","[0, 1, 3, 4]"
2011-04-06,2012-03-21,"[0, 125000, 250000, 500000, 1000000]","[0, 1, 3, 4, 5]"
2012-03-22,2014-12-03,"[0, 125000, 250000, 500000, 1000000, 2000000]","[0, 1, 3, 4, 5, 7]"
2014-12-04,2020-07-07,"[0, 125000, 250000, 925000, 1500000]","[0, 2, 5, 10, 12]"
2020-07-08,2021-06-30,"[0, 500000, 925000, 1500000]","[0, 5, 10, 12]"
2021-07-01,2021-09-30,"[0, 250000, 925000, 1500000]","[0, 5, 10, 12]"
2021-10-01,2022-09-22,"[0, 125000, 250000, 925000, 1500000]","[0, 2, 5, 10, 12]"
2022-09-23,2025-03-31,"[0, 250000, 925000, 1500000]","[0, 5, 10, 12]"
2025-04-01,2100-01-01,"[0, 125000, 250000, 925000, 1500000]","[0, 2, 5, 10, 12]"
