Date,Value
April 2013,"260,000"
May 2013,"11,060,000"
June 2013,"66,770,000"
July 2013,"30,500,000"
August 2013,"53,850,000"
September 2013,"71,880,000"
October 2013,"71,740,000"
November 2013,"96,950,000"
December 2013,"163,140,000"
January 2014,"50,780,000"
February 2014,"68,780,000"
March 2014,"115,650,000"
April 2014,"80,600,000"
May 2014,"101,530,000"
June 2014,"198,700,000"
July 2014,"72,140,000"
August 2014,"84,070,000"
September 2014,"96,460,000"
October 2014,"98,480,000"
November 2014,"95,820,000"
December 2014,"163,060,000"
January 2015,"49,610,000"
February 2015,"58,120,000"
March 2015,"108,220,000"
April 2015,"90,590,000"
May 2015,"116,640,000"
June 2015,"222,620,000"
July 2015,"91,040,000"
August 2015,"100,190,000"
September 2015,"128,290,000"
October 2015,"137,200,000"
November 2015,"138,890,000"
December 2015,"228,680,000"
January 2016,"77,860,000"
February 2016,"91,030,000"
March 2016,"161,940,000"
April 2016,"140,630,000"
May 2016,"149,160,000"
June 2016,"293,890,000"
July 2016,"126,440,000"
August 2016,"141,340,000"
September 2016,"206,180,000"
October 2016,"187,980,000"
November 2016,"190,590,000"
December 2016,"328,800,000"
January 2017,"114,130,000"
February 2017,"143,120,000"
March 2017,"247,060,000"
April 2017,"215,160,000"
May 2017,"247,450,000"
June 2017,"407,910,000"
July 2017,"195,090,000"
August 2017,"193,670,000"
September 2017,"270,900,000"
October 2017,"239,870,000"
November 2017,"243,850,000"
December 2017,"393,010,000"
January 2018,"168,060,000"
February 2018,"183,110,000"
March 2018,"308,760,000"
April 2018,"231,030,000"
May 2018,"245,460,000"
June 2018,"497,850,000"
July 2018,"248,920,000"
August 2018,"249,090,000"
September 2018,"272,930,000"
October 2018,"280,850,000"
November 2018,"317,280,000"
December 2018,"443,050,000"
January 2019,"183,010,000"
February 2019,"197,850,000"
March 2019,"362,800,000"
April 2019,"247,300,000"
May 2019,"278,460,000"
June 2019,"479,040,000"
July 2019,"272,850,000"
August 2019,"289,670,000"
September 2019,"301,420,000"
October 2019,"277,760,000"
November 2019,"314,450,000"
December 2019,"422,670,000"
January 2020,"183,210,000"
February 2020,"211,960,000"
March 2020,"312,560,000"
April 2020,"115,210,000"
May 2020,"100,410,000"
June 2020,"204,500,000"
July 2020,"253,630,000"
August 2020,"310,880,000"
September 2020,"393,460,000"
October 2020,"439,770,000"
November 2020,"453,690,000"
December 2020,"630,060,000"
January 2021,"305,870,000"
February 2021,"376,540,000"
March 2021,"476,080,000"
April 2021,"243,830,000"
May 2021,"219,850,000"
June 2021,"352,220,000"
July 2021,"127,320,000"
August 2021,"154,520,000"
September 2021,"221,910,000"
October 2021,"171,390,000"
November 2021,"178,480,000"
December 2021,"258,070,000"
January 2022,"117,560,000"
February 2022,"133,980,000"
March 2022,"197,120,000"
April 2022,"170,330,000"
May 2022,"159,250,000"
June 2022,"283,770,000"
July 2022,"183,270,000"
August 2022,"171,420,000"
September 2022,"209,990,000"
October 2022,"176,520,000"
November 2022,"195,850,000"
December 2022,"316,160,000"
January 2023,"134,290,000"
February 2023,"112,470,000"
March 2023,"108,050,000"
April 2023,"2,790,000"
May 2023,"7,770,000"
