County or District,LA,Country code
ADUR,Adur,E
AMBER VALLEY,Amber Valley,E
ARUN,Arun,E
ASHFIELD,Ashfield,E
ASHFORD,Ashford,E
BABERGH,Babergh,E
BARKING AND DAGENHAM,Barking and Dagenham,E
BARNET,Barnet,E
BARNSLEY,Barnsley,E
BARROW-IN-FURNESS,Westmorland and Furness,E
BASILDON,Basildon,E
BASINGSTOKE AND DEANE,Basingstoke and Deane,E
BASSETLAW,Bassetlaw,E
BATH,Bath and North East Somerset,E
BATH AND NORTH EAST SOMERSET,Bath and North East Somerset,E
BEDFORD,Bedford,E
BEXLEY,Bexley,E
BIRMINGHAM,Birmingham,E
BLABY,Blaby,E
BLACKBURN,Blackburn with Darwen,E
BLACKBURN WITH DARWEN,Blackburn with Darwen,E
BLACKPOOL,Blackpool,E
BLAENAU GWENT,Blaenau Gwent,W
BOLSOVER,Bolsover,E
BOLTON,Bolton,E
BOOTHFERRY,East Riding of Yorkshire,E
BOSTON,Boston,E
BOURNEMOUTH,"Bournemouth, Christchurch and Poole",E
"BOURNEMOUTH, CHRISTCHURCH AND POOLE","Bournemouth, Christchurch and Poole",E
BRACKNELL FOREST,Bracknell Forest,E
BRADFORD,Bradford,E
BRAINTREE,Braintree,E
BRECKLAND,Breckland,E
BRENT,Brent,E
BRENTWOOD,Brentwood,E
BRIDGEND,Bridgend,W
BRIGHTON,Brighton and Hove,E
BRIGHTON AND HOVE,Brighton and Hove,E
BRISTOL,"Bristol, City of",E
BROADLAND,Broadland,E
BROMLEY,Bromley,E
BROMSGROVE,Bromsgrove,E
BROXBOURNE,Broxbourne,E
BROXTOWE,Broxtowe,E
BUCKINGHAMSHIRE,Buckinghamshire,E
BURNLEY,Burnley,E
BURY,Bury,E
CAERPHILLY,Caerphilly,W
CALDERDALE,Calderdale,E
CAMBRIDGE,Cambridge,E
CAMDEN,Camden,E
CANNOCK CHASE,Cannock Chase,E
CANTERBURY,Canterbury,E
CARDIFF,Cardiff,W
CARLISLE,Cumberland,E
CARMARTHENSHIRE,Carmarthenshire,W
CASTLE POINT,Castle Point,E
CENTRAL BEDFORDSHIRE,Central Bedfordshire,E
CEREDIGION,Ceredigion,W
CHARNWOOD,Charnwood,E
CHELMSFORD,Chelmsford,E
CHELTENHAM,Cheltenham,E
CHERWELL,Cherwell,E
CHESHIRE EAST,Cheshire East,E
CHESHIRE WEST AND CHESTER,Cheshire West and Chester,E
CHESTER,Cheshire West and Chester,E
CHESTERFIELD,Chesterfield,E
CHICHESTER,Chichester,E
CHORLEY,Chorley,E
CITY OF BRISTOL,"Bristol, City of",E
CITY OF DERBY,Derby,E
CITY OF KINGSTON UPON HULL,"Kingston upon Hull, City of",E
CITY OF LONDON,City of London,E
CITY OF NOTTINGHAM,Nottingham,E
CITY OF PETERBOROUGH,Peterborough,E
CITY OF PLYMOUTH,Plymouth,E
CITY OF WESTMINSTER,Westminster,E
CLEVELAND,Redcar and Cleveland,E
COLCHESTER,Colchester,E
CONGLETON,Cheshire East,E
CONWY,Conwy,W
COPELAND,Cumberland,E
CORBY,North Northamptonshire,E
CORNWALL,Cornwall,E
COTSWOLD,Cotswold,E
COUNTY DURHAM,County Durham,E
COVENTRY,Coventry,E
CRAWLEY,Crawley,E
CREWE AND NANTWICH,Cheshire East,E
CROYDON,Croydon,E
CUMBERLAND,Cumberland,E
DACORUM,Dacorum,E
DARLINGTON,Darlington,E
DARTFORD,Dartford,E
DAVENTRY,West Northamptonshire,E
DENBIGHSHIRE,Denbighshire,W
DERBYSHIRE DALES,Derbyshire Dales,E
DINEFWR,Carmarthenshire,W
DONCASTER,Doncaster,E
DORSET,Dorset,E
DOVER,Dover,E
DUDLEY,Dudley,E
DURHAM,County Durham,E
EALING,Ealing,E
EAST CAMBRIDGESHIRE,East Cambridgeshire,E
EAST DEVON,East Devon,E
EAST HAMPSHIRE,East Hampshire,E
EAST HERTFORDSHIRE,East Hertfordshire,E
EAST LINDSEY,East Lindsey,E
EAST RIDING OF YORKSHIRE,East Riding of Yorkshire,E
EAST STAFFORDSHIRE,East Staffordshire,E
EAST SUFFOLK,East Suffolk,E
EASTBOURNE,Eastbourne,E
EASTLEIGH,Eastleigh,E
EDEN,Westmorland and Furness,E
ELLESMERE PORT AND NESTON,Cheshire West and Chester,E
ELMBRIDGE,Elmbridge,E
ENFIELD,Enfield,E
EPPING FOREST,Epping Forest,E
EPSOM AND EWELL,Epsom and Ewell,E
EREWASH,Erewash,E
EXETER,Exeter,E
FAREHAM,Fareham,E
FENLAND,Fenland,E
FLINTSHIRE,Flintshire,W
FOLKESTONE AND HYTHE,Folkestone and Hythe,E
FOREST HEATH,West Suffolk,E
FOREST OF DEAN,Forest of Dean,E
FYLDE,Fylde,E
GATESHEAD,Gateshead,E
GEDLING,Gedling,E
GLANFORD,North Lincolnshire,E
GLOUCESTER,Gloucester,E
GOSPORT,Gosport,E
GRAVESHAM,Gravesham,E
GREAT YARMOUTH,Great Yarmouth,E
GREENWICH,Greenwich,E
GUILDFORD,Guildford,E
GWENT,Blaenau Gwent,W
GWYNEDD,Gwynedd,W
HACKNEY,Hackney,E
HALTON,Halton,E
HAMMERSMITH AND FULHAM,Hammersmith and Fulham,E
HARBOROUGH,Harborough,E
HARINGEY,Haringey,E
HARLOW,Harlow,E
HARROW,Harrow,E
HART,Hart,E
HARTLEPOOL,Hartlepool,E
HASTINGS,Hastings,E
HAVANT,Havant,E
HAVERING,Havering,E
HEREFORDSHIRE,"Herefordshire, County of",E
HERTSMERE,Hertsmere,E
HIGH PEAK,High Peak,E
HILLINGDON,Hillingdon,E
HINCKLEY AND BOSWORTH,Hinckley and Bosworth,E
HOLDERNESS,East Riding of Yorkshire,E
HORSHAM,Horsham,E
HOUNSLOW,Hounslow,E
HOVE,Brighton and Hove,E
HUNTINGDONSHIRE,Huntingdonshire,E
HYNDBURN,Hyndburn,E
IPSWICH,Ipswich,E
ISLE OF ANGLESEY,Isle of Anglesey,W
ISLE OF WIGHT,Isle of Wight,E
ISLES OF SCILLY,Isles of Scilly,E
ISLINGTON,Islington,E
KENSINGTON AND CHELSEA,Kensington and Chelsea,E
